# Annex G (Quantization Tables for Higher Order Coefficients), TIA-102.BABA-1 -- the 2009
# half-rate AMBE+2 addendum. b5 -> a 4-dimensional codeword vector (H1,1..H1,4). 32 entries
# (b5 0-31, 5-bit index), completeness-verified before being trusted -- see
# ambe/AMBE_PLUS_2_NOTES.md for the real methodology and structural context. Sibling files
# half_rate_higher_order_b6/b7/b8.csv cover the other three coefficient groups this same annex
# defines.
# Reference data only: AMBE+2 (DMR / Yaesu System Fusion) is NOT implemented in this codebase,
# pending patent clearance -- see AMBE_PLUS_2_NOTES.md and
# docs/proposals/AMBE_CODEC_AND_DSTAR_IMPLEMENTATION_PLAN.md.
b5,H1_1,H1_2,H1_3,H1_4
0,0.264108,0.045976,-0.200999,-0.122344
1,0.479006,0.227924,-0.016114,-0.006835
2,0.077297,0.080775,-0.068936,0.041733
3,0.185486,0.231840,0.182410,0.101613
4,-0.012442,0.223718,-0.277803,-0.034370
5,-0.059507,0.139621,-0.024708,-0.104205
6,-0.248676,0.255502,-0.134894,-0.058338
7,-0.055122,0.427253,0.025059,-0.045051
8,-0.058898,-0.061945,0.028030,-0.022242
9,0.084153,0.025327,0.066780,-0.180839
10,-0.193125,-0.082632,0.140899,-0.089559
11,0.000000,0.033758,0.276623,0.002493
12,-0.396582,-0.049543,-0.118100,-0.208305
13,-0.287112,0.096620,0.049650,-0.079312
14,-0.543760,0.171107,-0.062173,-0.010483
15,-0.353572,0.227440,0.230128,-0.032089
16,0.248579,-0.279824,-0.209589,0.070903
17,0.377604,-0.119639,0.008463,-0.005589
18,0.102127,-0.093666,-0.061325,0.052082
19,0.154134,-0.105724,0.099317,0.187972
20,-0.139232,-0.091146,-0.275479,-0.038435
21,-0.144169,0.034314,-0.030840,0.022207
22,-0.143985,0.079414,-0.194701,0.175312
23,-0.195329,0.087467,0.067711,0.186783
24,-0.123515,-0.377873,-0.209929,-0.212677
25,0.068698,-0.255933,0.120463,-0.095629
26,-0.106810,-0.319964,-0.089322,0.106947
27,-0.158605,-0.309606,0.190900,0.089340
28,-0.489162,-0.432784,-0.151215,-0.005786
29,-0.370883,-0.154342,-0.022545,0.114054
30,-0.742866,-0.204364,-0.123865,-0.038888
31,-0.573077,-0.115287,0.208879,-0.027698
